,parent,left_child,right_child,distance,size
420,10879,5189.0,10869.0,0.019270652350209666,4.0
421,10880,4376.0,10835.0,0.019294500863572768,5.0
422,10881,9490.0,10880.0,0.019294500863572768,6.0
423,10882,3191.0,10875.0,0.01935852598107028,38.0
424,10883,9927.0,10813.0,0.019361458210095012,25.0
425,10884,6007.0,8528.0,0.01943465813857888,2.0
426,10885,487.0,10872.0,0.019519015898069595,5.0
427,10886,3518.0,10882.0,0.01952258556894062,39.0
428,10887,4046.0,911.0,0.019618664214498597,2.0
429,10888,9019.0,10866.0,0.01962429080107036,4.0
430,10889,8912.0,10888.0,0.01962429080107036,5.0
431,10890,4284.0,10885.0,0.019761127760818304,6.0
432,10891,286.0,10890.0,0.019761127760818304,7.0
433,10892,3569.0,10329.0,0.019810396320711597,2.0
434,10893,3763.0,10892.0,0.019810396320711597,3.0
435,10894,4021.0,10886.0,0.019837923772810497,40.0
436,10895,6393.0,2403.0,0.01994342431509578,2.0
437,10896,9424.0,10889.0,0.019961964185802754,6.0
438,10897,7791.0,10887.0,0.020151862462640825,3.0
439,10898,4635.0,10897.0,0.020151862462640825,4.0
440,10899,8155.0,10874.0,0.020236649217750893,16.0
441,10900,5877.0,10878.0,0.02036381008224241,5.0
442,10901,2199.0,18.0,0.02040264959053015,2.0
443,10902,9331.0,10879.0,0.02042104003001815,5.0
444,10903,425.0,10873.0,0.02058871864434484,15.0
445,10904,3256.0,3354.0,0.020610067030613476,2.0
446,10905,8821.0,10898.0,0.020613787366385458,5.0
447,10906,9689.0,10905.0,0.02066958539098404,6.0
448,10907,10039.0,2598.0,0.020708141696531304,2.0
449,10908,10407.0,10906.0,0.020853016012557804,7.0
450,10909,553.0,10853.0,0.021028341294750754,8.0
451,10910,9299.0,10834.0,0.021050148239628474,38.0
452,10911,162.0,10789.0,0.021078243631446256,9.0
453,10912,433.0,10895.0,0.021186757634106913,3.0
454,10913,6670.0,10912.0,0.021186757634106913,4.0
455,10914,3222.0,3549.0,0.021219239611301753,2.0
456,10915,7809.0,659.0,0.021292236428829863,2.0
457,10916,4000.0,10914.0,0.021300797610999497,3.0
458,10917,10102.0,9811.0,0.02140202788996922,2.0
459,10918,781.0,232.0,0.021435194535643267,2.0
460,10919,2993.0,10908.0,0.021510976086646122,8.0
461,10920,7971.0,10919.0,0.021520463305120398,9.0
462,10921,7837.0,10913.0,0.021538808343291586,5.0
463,10922,2505.0,10921.0,0.021557575488045627,6.0
464,10923,7596.0,10765.0,0.021558875611421217,11.0
465,10924,3479.0,10893.0,0.021646645333870076,4.0
466,10925,6150.0,10831.0,0.021671286651816078,9.0
467,10926,3019.0,9267.0,0.02167213821310753,2.0
468,10927,2675.0,10903.0,0.021760547697756327,16.0
469,10928,10397.0,10904.0,0.022064040134816974,3.0
470,10929,1888.0,10883.0,0.022080617794924116,26.0
471,10930,7453.0,10891.0,0.022161645023700032,8.0
472,10931,8689.0,10860.0,0.02230065696646504,7.0
473,10932,3895.0,10884.0,0.022332307925712874,3.0
474,10933,9219.0,10932.0,0.022332307925712874,4.0
475,10934,2948.0,9325.0,0.02249670936798389,2.0
476,10935,4074.0,10899.0,0.022550398798055635,17.0
477,10936,7308.0,10780.0,0.022566735364042956,12.0
478,10937,547.0,10934.0,0.022576075765426275,3.0
479,10938,10426.0,10920.0,0.022595955169328403,10.0
480,10939,6762.0,10938.0,0.022595955169328403,11.0
481,10940,10179.0,10939.0,0.02265018557802447,12.0
482,10941,815.0,10279.0,0.02266765895310977,2.0
483,10942,5108.0,10915.0,0.022794199591313007,3.0
484,10943,7782.0,10933.0,0.02288932256740933,5.0
485,10944,829.0,10918.0,0.02290671055703341,3.0
486,10945,3854.0,10944.0,0.022948604148133205,4.0
487,10946,5023.0,10945.0,0.022948604148133205,5.0
488,10947,8457.0,10864.0,0.023048674893896594,24.0
489,10948,3650.0,10924.0,0.023055969238751754,5.0
490,10949,5763.0,10917.0,0.023114684122380505,3.0
491,10950,8391.0,10093.0,0.023187488265530628,2.0
492,10951,5674.0,8554.0,0.02321615670197743,2.0
493,10952,856.0,10950.0,0.023227278931790805,3.0
494,10953,9105.0,10949.0,0.02327992097929322,4.0
495,10954,5762.0,10953.0,0.02327992097929322,5.0
