,child,parent,lambda_val,child_size,x,y,z
10844,266,11342,10.81379987704257,1,6.068974971771239,-5.53514528274536,3.162476778030395
10845,9552,11346,10.18392207555094,1,6.007266044616699,-5.712400436401367,2.714276552200317
10846,516,11346,10.18392207555094,1,6.03506326675415,-5.734292507171631,2.6226789951324463
10847,9169,11346,10.18392207555094,1,5.982800960540772,-5.664789676666259,2.7064249515533443
10848,6541,11346,10.18392207555094,1,6.056165218353272,-5.683428287506104,2.6899812221527095
10849,4212,11346,10.18392207555094,1,6.032372951507568,-5.669332027435304,2.658333778381348
10850,9113,11287,18.730108392166645,1,5.231634140014648,-5.571318626403808,2.9383111000061035
10851,4461,11339,21.37166208471842,1,9.538867950439453,-5.0278306007385245,5.75108814239502
10852,6227,11345,10.289068598362302,1,7.17439842224121,-4.51801633834839,-6.402212142944336
10853,3218,11336,11.556115241232842,1,7.452466011047363,-4.024007320404053,-6.448158264160156
10854,9693,11340,15.45047094964587,1,7.420456886291506,-3.674793958663941,-6.380572795867919
10855,1105,11323,11.64138715814425,1,21.32719039916992,-0.2418980896472931,-0.8409239053726195
10856,5257,11342,11.201291269032307,1,5.941657066345215,-5.670493602752685,3.1730797290801998
10857,6914,11287,18.856259359166774,1,5.330111026763916,-5.5899081230163565,2.9799904823303223
10858,4124,11339,21.39674311730953,1,9.583213806152344,-5.037034511566161,5.763090133666992
10859,868,11345,10.527163122581527,1,7.168207645416259,-4.471987247467041,-6.374724864959718
10860,6279,11336,12.011773201396926,1,7.374911785125732,-3.8934924602508545,-6.382171630859376
10861,2996,11340,15.538431046256639,1,7.4234724044799805,-3.686576128005981,-6.399173736572265
10862,1090,11323,11.659614631507702,1,21.4192008972168,-0.6751477122306824,-0.726323425769806
10863,5585,11342,11.235904236951471,1,5.836732864379883,-5.646339416503905,3.126274347305298
10864,1641,11287,19.289137180280697,1,5.2342071533203125,-5.4416093826293945,2.967183589935303
10865,2809,11339,21.88601029436129,1,9.610215187072754,-5.06289005279541,5.721995830535889
10866,11348,11345,10.558773658426434,24,0.6197384794553121,-0.36946962277094525,-0.5277263323465983
10867,11349,11345,10.558773658426434,56,1.6722986016954695,-1.0690290927886963,-1.4944907597133092
10868,7985,11336,12.300229796793129,1,7.484742164611816,-3.94593358039856,-6.456707954406737
10869,7820,11340,17.734366697776007,1,7.456397533416749,-3.605513095855713,-6.446767807006837
10870,1410,11323,11.659614631507702,1,21.429325103759762,-0.5932847261428833,-0.7498134374618529
10871,10437,11323,11.659614631507702,1,21.44457626342773,-0.643787145614624,-0.7596197128295898
10872,1454,11323,11.659614631507702,1,21.506990432739258,-0.6650850772857665,-0.7986644506454467
10873,1272,11323,11.659614631507702,1,21.524747848510746,-0.6624171733856201,-0.7966552376747131
10874,5150,11342,11.302803925330512,1,5.937988281249999,-5.685639381408691,2.9890210628509517
10875,593,11287,19.45119904658489,1,5.275216579437256,-5.43788480758667,2.990786552429199
10876,2032,11339,24.36870673752426,1,9.536739349365234,-5.040016174316406,5.780916690826416
10877,6758,11348,10.558773658426434,1,7.496793746948241,-4.578613758087158,-6.417499542236328
10878,958,11349,10.859512060742892,1,7.179156780242919,-4.517091274261475,-6.376759529113769
10879,3688,11336,12.837308985009345,1,7.398334026336671,-3.8940446376800537,-6.4835710525512695
10880,6088,11340,18.85212122163508,1,7.458892822265626,-3.556085586547851,-6.3942646980285645
10881,1414,11323,11.669935466958249,1,21.097644805908203,-0.19691973924636838,-0.9292651414871216
10882,4294,11342,11.373081358058876,1,5.909136295318604,-5.677260875701904,2.892610788345337
10883,2988,11287,19.582207036891443,1,5.27660083770752,-5.607295036315918,2.8771646022796635
10884,5355,11339,24.81081411828272,1,9.60441303253174,-5.055386543273926,5.737233638763428
10885,9897,11339,24.81081411828272,1,9.583402633666992,-5.056010723114014,5.720380306243896
10886,5715,11339,24.81081411828272,1,9.568621635437012,-5.041961669921875,5.751695632934569
10887,6154,11339,24.81081411828272,1,9.53914737701416,-5.029874324798585,5.766056537628175
10888,7164,11339,24.81081411828272,1,9.545317649841307,-5.036978244781494,5.761998653411865
10889,6237,11348,10.937942466100665,1,7.376929759979248,-4.288657188415527,-6.247932434082032
10890,10145,11349,11.175148525580376,1,7.13403844833374,-4.559834957122803,-6.563156604766845
10891,3735,11336,13.450474706473715,1,7.417143821716307,-3.9782752990722656,-6.383744716644286
10892,9680,11340,22.22214247030411,1,7.459027767181396,-3.6561758518219,-6.394381046295167
10893,7737,11323,11.704676537345755,1,21.381744384765625,-0.4287474155426025,-0.7076722979545592
10894,9450,11342,11.59130853282153,1,6.127131938934325,-5.562639236450195,3.1149446964263925
10895,2143,11287,19.698796433787628,1,5.19299840927124,-5.485809326171875,2.937019109725952
10896,11350,11348,10.937942466100665,6,7.362679402033488,-4.240038951237996,-6.277959585189819
10897,11351,11348,10.937942466100665,16,7.504907310009003,-4.388679921627045,-6.410300761461258
10898,5994,11349,11.276853138467429,1,7.3529601097106925,-4.654587268829346,-6.531102180480958
10899,5435,11336,13.922335915316063,1,7.414076805114745,-3.872974395751952,-6.456386566162109
